+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
| Package                                                    | Version                 | License Information Origin | License Expression | License Url                                 | Copyright                                                                                                                                                 | Authors                                                 | Package Project Url                                            | Error                                                  | Error Context                                                                                                     |
+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
| App.Metrics.Abstractions                                   | 4.3.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Allan Hardy 2016                                                                                                                                          | Allan Hardy and Contributors                            | https://app-metrics.io/                                        |                                                        |                                                                                                                   |
| Asp.Versioning.Http                                        | 8.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © .NET Foundation. All rights reserved.                                                                                                                   | .NET Foundation and Contributors                        | https://github.com/dotnet/aspnet-api-versioning/wiki           |                                                        |                                                                                                                   |
| Asp.Versioning.Mvc                                         | 8.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © .NET Foundation. All rights reserved.                                                                                                                   | .NET Foundation and Contributors                        | https://github.com/dotnet/aspnet-api-versioning/wiki           |                                                        |                                                                                                                   |
| Asp.Versioning.Mvc.ApiExplorer                             | 8.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © .NET Foundation. All rights reserved.                                                                                                                   | .NET Foundation and Contributors                        | https://github.com/dotnet/aspnet-api-versioning/wiki           |                                                        |                                                                                                                   |
| Aspire.Dashboard.Sdk.osx-arm64                             | 9.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| Aspire.Hosting                                             | 9.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| Aspire.Hosting.AppHost                                     | 9.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| Aspire.Hosting.Garnet                                      | 9.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| Aspire.Hosting.Orchestration.osx-arm64                     | 9.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| Aspire.Hosting.PostgreSQL                                  | 9.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| Aspire.Hosting.RabbitMQ                                    | 9.1.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/aspire                               |                                                        |                                                                                                                   |
| AspNetCore.HealthChecks.NpgSql                             | 9.0.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       |                                                                                                                                                           | Xabaril Contributors                                    | https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks |                                                        |                                                                                                                   |
| AspNetCore.HealthChecks.Sqlite                             | 9.0.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       |                                                                                                                                                           | Xabaril Contributors                                    | https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks |                                                        |                                                                                                                   |
| AspNetCore.HealthChecks.UI.Client                          | 9.0.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       |                                                                                                                                                           | Xabaril Contributors                                    | https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks |                                                        |                                                                                                                   |
| AuroraScienceHub.SWeather.Draw.Plotting                    | 1.10.132                | Expression                 | GPL-3.0-or-later   | https://licenses.nuget.org/GPL-3.0-or-later | Copyright 2025 © AuroraScienceHub. All rights reserved                                                                                                    | AuroraScienceHub                                        | https://github.com/Aurora-Science-Hub/SWeather-draw            |                                                        |                                                                                                                   |
| AuroraScienceHub.SWeather.Physics.CouplingFunctions        | 1.1.0                   | Expression                 | Apache-2.0         | https://licenses.nuget.org/Apache-2.0       | Copyright 2024 © AuroraScienceHub. All rights reserved                                                                                                    | AuroraScienceHub                                        | https://github.com/Aurora-Science-Hub/SWeather-physics         |                                                        |                                                                                                                   |
